Source,Target,Weight,confidence,support
"KEY FOB , SHED","KEY FOB , BACK DOOR",34.5232,0.6368,0.0134
FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL,34.4066,0.6056,0.0113
FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL,34.4066,0.6402,0.0113
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",PINK REGENCY TEACUP AND SAUCER,33.7706,0.7216,0.0105
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",33.7706,0.4924,0.0105
KITCHEN METAL SIGN,"BATHROOM METAL SIGN, TOILET METAL SIGN",33.7287,0.6046,0.0102
"BATHROOM METAL SIGN, TOILET METAL SIGN",KITCHEN METAL SIGN,33.7287,0.5707,0.0102
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,33.357,0.7128,0.0152
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",33.357,0.7128,0.0152
GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",33.1377,0.5671,0.0152
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,33.1377,0.8899,0.0152
GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",32.7837,0.3918,0.0105
"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",GREEN REGENCY TEACUP AND SAUCER,32.7837,0.8804,0.0105
"BATHROOM METAL SIGN, KITCHEN METAL SIGN",TOILET METAL SIGN,32.5893,0.7482,0.0102
TOILET METAL SIGN,"BATHROOM METAL SIGN, KITCHEN METAL SIGN",32.5893,0.4455,0.0102
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,32.3837,0.7141,0.0142
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,32.3837,0.6436,0.0142
FELTCRAFT CUSHION RABBIT,FELTCRAFT CUSHION BUTTERFLY,31.218,0.659,0.0139
FELTCRAFT CUSHION BUTTERFLY,FELTCRAFT CUSHION RABBIT,31.218,0.6569,0.0139
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,31.1241,0.6651,0.0179
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,31.1241,0.8359,0.0179
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,30.4046,0.6181,0.0149
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,30.4046,0.7316,0.0149
PINK REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",30.0921,0.4818,0.0103
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,30.0921,0.643,0.0103
PINK HAPPY BIRTHDAY BUNTING,BLUE HAPPY BIRTHDAY BUNTING,29.5712,0.5214,0.0122
BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,29.5712,0.6943,0.0122
TOILET METAL SIGN,KITCHEN METAL SIGN,29.4274,0.4979,0.0114
KITCHEN METAL SIGN,TOILET METAL SIGN,29.4274,0.6756,0.0114
"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER,28.9273,0.8614,0.0103
ROSES REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",28.9273,0.3457,0.0103
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,28.6356,0.8527,0.0152
ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",28.6356,0.5115,0.0152
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,28.3989,0.7627,0.0122
GREEN REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",28.3989,0.4547,0.0122
EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL RED,28.1996,0.4762,0.0104
EDWARDIAN PARASOL RED,EDWARDIAN PARASOL BLACK,28.1996,0.6154,0.0104
ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",28.1215,0.41,0.0122
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER,28.1215,0.8374,0.0122
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,27.4602,0.4548,0.0111
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,27.4602,0.6706,0.0111
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,26.8956,0.5747,0.0171
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,26.8956,0.8009,0.0171
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,26.7188,0.7956,0.0214
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,26.7188,0.7176,0.0214
"KITCHEN METAL SIGN, TOILET METAL SIGN",BATHROOM METAL SIGN,26.6768,0.8949,0.0102
BATHROOM METAL SIGN,"KITCHEN METAL SIGN, TOILET METAL SIGN",26.6768,0.3049,0.0102
FELTCRAFT CUSHION OWL,FELTCRAFT CUSHION RABBIT,26.0098,0.5473,0.013
FELTCRAFT CUSHION RABBIT,FELTCRAFT CUSHION OWL,26.0098,0.6157,0.013
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,25.2245,0.6209,0.016
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,25.2245,0.6504,0.016
FELTCRAFT DOLL MOLLY,FELTCRAFT DOLL ROSIE,25.1548,0.5032,0.0102
FELTCRAFT DOLL ROSIE,FELTCRAFT DOLL MOLLY,25.1548,0.5114,0.0102
FELTCRAFT CUSHION OWL,FELTCRAFT CUSHION BUTTERFLY,24.695,0.5213,0.0123
FELTCRAFT CUSHION BUTTERFLY,FELTCRAFT CUSHION OWL,24.695,0.5846,0.0123
BATHROOM METAL SIGN,KITCHEN METAL SIGN,24.0885,0.4076,0.0137
KITCHEN METAL SIGN,BATHROOM METAL SIGN,24.0885,0.8081,0.0137
BATHROOM METAL SIGN,TOILET METAL SIGN,23.2748,0.5344,0.0179
TOILET METAL SIGN,BATHROOM METAL SIGN,23.2748,0.7808,0.0179
EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL BLACK,21.804,0.4758,0.0118
EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL NATURAL,21.804,0.5417,0.0118
RED  HARMONICA IN BOX,BLUE HARMONICA IN BOX,21.2747,0.4691,0.0108
BLUE HARMONICA IN BOX,RED  HARMONICA IN BOX,21.2747,0.4919,0.0108
